ID,Hierarchy,Parent,Name,Alias,Location,Description
17,6,Tab Navigation,Styling Tab Content,FM_TabStyling,app/BasicTab.tsx,CSS class and inline style configuration UI.
18,6,Tab Navigation,Events Tab Content,FM_TabEvents,app/BasicTab.tsx,Event handler bindings like onClick onChange onFocus onKeyDown.
19,6,Tab Navigation,Validation Tab Content,FM_TabValidation,app/BasicTab.tsx,Validation constraints such as required min max pattern and related checks.
20,6,Tab Navigation,Options Tab Content,FM_TabOptions,app/BasicTab.tsx,Static or dynamic options and selection behavior configuration.
21,6,Tab Navigation,QueryBuilder Tab Content,FM_TabQueryBuilder,app/BasicTab.tsx,Advanced SQL-like query builder setup for dynamic data-driven filters.
22,7,QueryBuilder Tab Content,Join Configuration Accordion,FM_QBJoinConfig,app/BasicTab.tsx,Join type primary secondary table and join condition setup.
23,7,QueryBuilder Tab Content,Where Conditions Accordion,FM_QBWhereConditions,app/BasicTab.tsx,Configures filter clauses operators and grouped conditions.
24,7,QueryBuilder Tab Content,Window Functions Accordion,FM_QBWindowFunctions,app/BasicTab.tsx,Defines ranking aggregate and analytic window expressions.
25,8,Where Conditions Accordion,NestedQueryBuilder,FM_NestedQueryBuilder,app/BasicTab.tsx,Recursive nested query editor for advanced condition composition.
26,3,FilterManager (Main Container),UI Helper Component IconButton,FM_HelperIconButton,app/FilterManager.tsx,Reusable icon action button used across list actions.
27,3,FilterManager (Main Container),UI Helper Component Badge,FM_HelperBadge,app/FilterManager.tsx,Reusable status and metadata badge element.
28,1,-,DashboardManager Page,DM_Page,app/page.tsx + app/DashboardManager.tsx,Top-menu entry DashboardManager opens this page component.
29,2,DashboardManager Page,Top Navigation Hook,DM_MenuLink,app/page.tsx,selectedMenu === 'DashboardManager' renders <DashboardManager />.
30,2,DashboardManager Page,DashboardManager (Main Container),DM_Main,app/DashboardManager.tsx,"Main orchestration component: tabs, CRUD, layout, API integration."
31,3,DashboardManager (Main Container),Header Actions Bar,DM_HeaderActions,app/DashboardManager.tsx,"Buttons: Create Dashboard, Drag Mode, tab switches, Refresh."
32,3,DashboardManager (Main Container),Dashboards Tab,DM_Tab_Dashboards,app/DashboardManager.tsx,Shows dashboard cards and selected dashboard visual area.
33,3,DashboardManager (Main Container),Widgets Tab,DM_Tab_Widgets,app/DashboardManager.tsx,"Tabular widget management (edit/delete/add/refresh)."
34,3,DashboardManager (Main Container),Data Sources Tab,DM_Tab_DataSources,app/DashboardManager.tsx,Tabular data source management.
35,3,DashboardManager (Main Container),Create Context Menu Tab,DM_Tab_ContextMenu,app/DashboardManager.tsx,Loads separate context-menu management component.
36,3,DashboardManager (Main Container),Assign Filters Tab,DM_Tab_AssignFilters,app/DashboardManager.tsx,Loads separate filter-assignment component and assignment grid.
37,3,Dashboards Tab,DashboardCard,DM_DashboardCard,app/DashboardManager.tsx,"Individual dashboard tile with select/edit/delete/drop handling."
38,3,Dashboards Tab,Selected Dashboard Panel,DM_SelectedDashboardPanel,app/DashboardManager.tsx,Displays selected dashboard info and widget grid container.
39,4,Selected Dashboard Panel,GridLayout (Widget Canvas),DM_WidgetGrid,app/DashboardManager.tsx,Responsive drag/resize layout for widgets.
40,4,GridLayout (Widget Canvas),WidgetComponent,DM_WidgetRenderer,app/DashboardManager.tsx,Per-widget renderer with data + type-based UI rendering.
41,5,WidgetComponent,KPIView,DM_KPIView,app/DashboardManager.tsx,KPI value/trend visual display.
42,5,WidgetComponent,Chart Renderer Block,DM_ChartBlock,app/DashboardManager.tsx,Renders chart-like visuals from normalized data.
43,5,WidgetComponent,Table Renderer Block,DM_TableBlock,app/DashboardManager.tsx,Renders normalized table rows/columns.
44,5,WidgetComponent,Text Renderer Block,DM_TextBlock,app/DashboardManager.tsx,Renders textual widget content.
45,5,WidgetComponent,Map Renderer Block,DM_MapBlock,app/DashboardManager.tsx,MAP type logic with dynamic leaflet component loading.
46,5,WidgetComponent,RecursiveMenu,DM_RecursiveContextMenu,app/DashboardManager.tsx,Nested context-menu rendering tree.
47,3,DashboardManager (Main Container),DashboardModal,DM_Modal_Dashboard,app/DashboardManager.tsx,Create/Edit dashboard modal.
48,3,DashboardManager (Main Container),WidgetModal,DM_Modal_Widget,app/DashboardManager.tsx,Create/Edit widget modal + preview + config fields.
49,3,DashboardManager (Main Container),DataSourceModal,DM_Modal_DataSource,app/DashboardManager.tsx,Create/Edit datasource modal with JSON config fields.
50,2,DashboardManager Page,ContextMenuTab (Separate Component),DM_Separate_ContextMenuTab,app/ContextMenuTab.tsx,Full CRUD for context menus and widget-context assignments.
51,2,DashboardManager Page,AssignFiltersTab (Separate Component),DM_Separate_AssignFiltersTab,app/AssignFiltersTab.tsx,Assign filters at dashboard/widget scope.
52,2,DashboardManager Page,MapWidget (Separate Component dynamic),DM_Separate_MapWidget,components/MapWidget.tsx,Dynamically imported map widget for MAP visual type.
